Producto,Precio,Vendidos,Stock,Ganancia bruta posible,Ganancia neta posible,Stock invertido
Collar spiderman,25,135,16,400,297.74,102.26
Collar gengar morado,30,140,3,90,71.32,18.69
Collar starboy,20,123,1,20,15.36,4.64
Collar gothic cross,25,51,8,200,151.68,48.32
Collar demon cross,25,94,11,275,216.95,58.05
Pant chain y2k pearls,35,31,7,245,148.47,96.53
Pant chain Chrome hearts,35,74,25,875,626,249
Pant chain spiderboy,35,34,9,315,189.45,125.55
Silver rosary chain,25,24,10,250,167.1,82.9
Gold rosary chain,25,2,8,200,129.12,70.88
Cinturon iced silver y2k,45,29,1,45,22.2,22.8
Cinturon Iced Black y2k,45,17,3,135,66.6,22.8
